trial_number,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
2,5,distance,euclidean,unused,6,72,72,0.6444444444444445,0.5789473684210527,0.8517786561264822,45
2,5,distance,euclidean,unused,6,73,73,0.6222222222222222,0.45161290322580644,0.717391304347826,45
2,5,distance,euclidean,unused,6,74,74,0.6222222222222222,0.6046511627906976,0.7083333333333334,45
2,5,distance,euclidean,unused,6,75,75,0.5853658536585366,0.5405405405405406,0.5797619047619048,41
2,5,distance,euclidean,unused,6,76,76,0.5111111111111111,0.5925925925925926,0.5474308300395258,45
2,5,distance,euclidean,unused,6,77,77,0.6,0.6538461538461539,0.6378968253968254,45
2,5,distance,euclidean,unused,6,78,78,0.5555555555555556,0.6,0.49703557312252966,45
2,5,distance,euclidean,unused,6,79,79,0.5,0.5238095238095238,0.655,40
2,5,distance,euclidean,unused,6,80,80,0.5555555555555556,0.3333333333333333,0.49209486166007904,45
2,5,distance,euclidean,unused,6,81,81,0.4666666666666667,0.0,0.49011857707509876,45
2,5,distance,euclidean,unused,6,82,82,0.5555555555555556,0.6666666666666666,0.6551383399209485,45
2,5,distance,euclidean,unused,6,83,83,0.4473684210526316,0.16,0.389196675900277,38
2,5,distance,euclidean,unused,6,84,84,0.6136363636363636,0.6046511627906976,0.639751552795031,44
2,5,distance,euclidean,unused,6,85,85,0.6136363636363636,0.6792452830188679,0.675983436853002,44
2,5,distance,euclidean,unused,6,86,86,0.5909090909090909,0.5714285714285714,0.7070393374741201,44
2,5,distance,euclidean,unused,6,87,87,0.5555555555555556,0.6296296296296297,0.5741106719367588,45
2,5,distance,euclidean,unused,6,88,88,0.45454545454545453,0.34782608695652173,0.5105820105820107,55
2,5,distance,euclidean,unused,6,89,89,0.6,0.6785714285714286,0.6666666666666666,45
2,5,distance,euclidean,unused,6,90,90,0.37777777777777777,0.3333333333333333,0.3952569169960475,45
2,5,distance,euclidean,unused,6,91,91,0.5454545454545454,0.6296296296296297,0.65599173553719,44
2,5,distance,euclidean,unused,6,92,92,0.48214285714285715,0.4528301886792453,0.5102564102564103,56
2,5,distance,euclidean,unused,6,93,93,0.6444444444444445,0.68,0.7233201581027668,45
2,5,distance,euclidean,unused,6,94,94,0.7954545454545454,0.8301886792452831,0.9151138716356108,44
2,5,distance,euclidean,unused,6,95,95,0.5,0.6111111111111112,0.4739583333333333,28
2,5,distance,euclidean,unused,6,96,96,0.6190476190476191,0.6923076923076923,0.5510204081632654,42
2,5,distance,euclidean,unused,6,97,97,0.5454545454545454,0.4444444444444444,0.5382231404958678,44
2,5,distance,euclidean,unused,6,98,98,0.5333333333333333,0.6557377049180327,0.5691699604743083,45
2,5,distance,euclidean,unused,6,99,99,0.5581395348837209,0.4864864864864865,0.5227272727272727,43
2,5,distance,euclidean,unused,6,100,100,0.5,0.5714285714285714,0.48611111111111105,36
2,5,distance,euclidean,unused,6,101,101,0.4666666666666667,0.3333333333333333,0.48418972332015814,45
2,5,distance,euclidean,unused,6,102,102,0.6,0.5714285714285714,0.5968379446640316,45
2,5,distance,euclidean,unused,6,103,103,0.6744186046511628,0.6818181818181818,0.7251082251082251,43
2,5,distance,euclidean,unused,6,104,104,0.3953488372093023,0.38095238095238093,0.512987012987013,43
2,5,distance,euclidean,unused,6,105,105,0.4222222222222222,0.35,0.4634387351778656,45
2,5,distance,euclidean,unused,6,106,106,0.5111111111111111,0.45,0.501984126984127,45
2,5,distance,euclidean,unused,6,107,107,0.4666666666666667,0.52,0.42658730158730157,45
2,5,distance,euclidean,unused,6,108,108,0.6444444444444445,0.6,0.6610671936758893,45
3,15,distance,minkowski,3,6,1,1,0.5777777777777777,0.5957446808510638,0.5632411067193677,45
3,15,distance,minkowski,3,6,2,2,0.6666666666666666,0.5161290322580645,0.8853754940711462,45
3,15,distance,minkowski,3,6,3,3,0.4666666666666667,0.5,0.4031620553359684,45
3,15,distance,minkowski,3,6,4,4,0.5333333333333333,0.3225806451612903,0.5355731225296443,45
3,15,distance,minkowski,3,6,5,5,0.4444444444444444,0.46808510638297873,0.4087301587301587,45
3,15,distance,minkowski,3,6,6,6,0.5555555555555556,0.16666666666666666,0.36507936507936506,45
