parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
D,1,8,1,8,64,0.25,0.001,32,20,0.0,71,71,0.9111111111111111,0.92,0.9762845849802371,9.094911394997325,0.002138280004146509,0.047517333425477974,0.011692047119140625,1130,0.015625,25.7958984375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,72,72,0.5111111111111111,0.6764705882352942,0.9565217391304348,9.097033192003437,0.0021396070005721413,0.04754682223493647,0.011692047119140625,1130,0.015625,25.796875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,73,73,0.5111111111111111,0.0,0.5,9.25856669100176,0.002360726000915747,0.05246057779812771,0.011692047119140625,1130,0.01171875,25.7978515625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,74,74,0.5333333333333333,0.0,0.5575396825396826,9.644009773997823,0.0022908840037416667,0.05090853341648149,0.011692047119140625,1130,0.01171875,25.798828125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,75,75,0.8292682926829268,0.8444444444444444,0.9238095238095239,9.321267819999775,0.0021078290010336787,0.05141046343984582,0.011692047119140625,1130,0.015625,25.7998046875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,76,76,0.5111111111111111,0.0,0.4901185770750988,9.369553789001657,0.0022264910003286786,0.04947757778508175,0.011692047119140625,1130,0.00390625,25.80078125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,77,77,0.5333333333333333,0.6956521739130435,0.6349206349206349,9.434074857999803,0.0023218940041260794,0.0515976445361351,0.011692047119140625,1130,0.01953125,25.8017578125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,78,78,0.4888888888888889,0.6567164179104478,0.5039525691699605,9.236091287006275,0.0021482669981196523,0.04773926662488116,0.011692047119140625,1130,0.0078125,25.802734375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,79,79,0.4,0.52,0.49,9.257605667000462,0.0021101339953020215,0.05275334988255054,0.011692047119140625,1130,0.015625,25.8037109375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,80,80,0.4888888888888889,0.6567164179104478,0.6778656126482214,9.223899334996531,0.0023925040004542097,0.05316675556564911,0.011692047119140625,1130,0.015625,25.8046875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,81,81,0.4888888888888889,0.0,0.7075098814229248,9.274114057996485,0.0023153290021582507,0.051451755603516676,0.011692047119140625,1130,0.0078125,25.8056640625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,82,82,0.5555555555555556,0.6774193548387096,0.8122529644268774,9.290857816995413,0.002345291002711747,0.05211757783803882,0.011692047119140625,1130,0.015625,25.806640625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,83,83,0.5,0.6666666666666666,0.7368421052631579,9.313591076999728,0.0021993909977027215,0.05787871046586109,0.011692047119140625,1130,0.015625,25.8076171875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,84,84,0.5454545454545454,0.6774193548387096,0.7805383022774326,9.27747554799862,0.002158604002033826,0.04905918186440513,0.011692047119140625,1130,0.01171875,25.80859375
